@relation all_data_pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R3-7

@attribute pacman-pos-x numeric
@attribute pacman-pos-y numeric
@attribute ghost1-live numeric
@attribute ghost2-live numeric
@attribute ghost3-live numeric
@attribute ghost4-live numeric
@attribute ghost1-pos-x numeric
@attribute ghost1-pos-y numeric
@attribute ghost2-pos-x numeric
@attribute ghost2-pos-y numeric
@attribute ghost3-pos-x numeric
@attribute ghost3-pos-y numeric
@attribute ghost4-pos-x numeric
@attribute ghost4-pos-y numeric
@attribute direction {North,South,East,West,Stop}

@data
10,5,1,0,0,0,1,3,3,1,5,1,7,1,West
9,5,1,0,0,0,1,3,3,1,5,1,7,1,West
8,5,1,0,0,0,1,3,3,1,5,1,7,1,West
7,5,1,0,0,0,1,3,3,1,5,1,7,1,West
6,5,1,0,0,0,1,3,3,1,5,1,7,1,West
5,5,1,0,0,0,1,4,3,1,5,1,7,1,West
4,5,1,0,0,0,2,4,3,1,5,1,7,1,West
3,5,1,0,0,0,3,4,3,1,5,1,7,1,West
2,5,1,0,0,0,3,3,3,1,5,1,7,1,South
2,4,1,0,0,0,4,3,3,1,5,1,7,1,East
3,4,1,0,0,0,4,4,3,1,5,1,7,1,East
1,11,1,1,1,1,6,5,6,9,8,11,14,6,Stop
1,11,1,1,1,1,6,5,5,9,8,11,14,6,Stop
1,11,1,1,1,1,7,5,5,9,8,11,14,7,East
2,11,1,1,1,1,8,5,5,8,9,11,15,7,East
3,11,1,1,1,1,8,6,6,8,10,11,14,7,East
4,11,1,1,1,1,8,5,7,8,11,11,14,7,East
5,11,1,1,1,1,8,4,6,8,11,11,13,7,East
6,11,1,1,1,1,8,3,6,9,11,10,13,7,East
7,11,1,1,1,1,8,3,5,9,11,9,12,7,East
8,11,1,1,1,1,7,3,4,9,12,9,13,7,East
9,11,1,1,1,1,7,3,4,9,12,8,14,7,East
10,11,1,1,1,1,7,4,3,9,12,9,14,7,East
11,11,1,1,1,1,8,4,4,9,13,9,14,7,South
11,10,1,1,1,1,7,4,4,9,12,9,14,6,South
11,9,1,1,1,1,6,4,4,9,13,9,14,5,East
12,9,1,1,1,1,5,4,5,9,13,9,14,6,East
13,9,1,1,0,1,5,3,5,10,5,1,14,7,West
12,9,1,1,0,1,5,4,5,9,5,1,14,6,East
13,9,1,1,0,1,5,3,5,9,5,1,14,7,South
13,8,1,1,0,1,6,3,5,8,5,1,15,7,South
13,7,1,1,0,0,7,3,6,8,5,1,14,7,East
14,7,1,1,0,0,7,3,7,8,5,1,7,1,West
13,7,1,1,0,0,7,4,7,8,5,1,7,1,West
12,7,1,1,0,0,7,4,7,8,5,1,7,1,North
12,8,1,1,0,0,7,4,7,8,5,1,7,1,North
12,9,1,1,0,0,6,4,7,8,5,1,7,1,West
11,9,1,1,0,0,6,3,6,8,5,1,7,1,West
10,9,1,1,0,0,7,3,6,7,5,1,7,1,West
9,9,1,1,0,0,6,3,6,8,5,1,7,1,West
8,9,1,1,0,0,6,3,6,7,5,1,7,1,West
7,9,1,1,0,0,5,3,6,8,5,1,7,1,West
6,9,1,0,0,0,5,3,3,1,5,1,7,1,South
6,8,1,0,0,0,6,3,3,1,5,1,7,1,South
6,7,1,0,0,0,6,4,3,1,5,1,7,1,East
7,7,1,0,0,0,6,3,3,1,5,1,7,1,East
8,7,1,0,0,0,6,4,3,1,5,1,7,1,South
8,6,1,0,0,0,5,4,3,1,5,1,7,1,South
8,5,1,0,0,0,6,4,3,1,5,1,7,1,West
7,5,1,0,0,0,6,4,3,1,5,1,7,1,West
6,5,1,0,0,0,5,4,3,1,5,1,7,1,South
6,4,1,0,0,0,5,3,3,1,5,1,7,1,South
1,11,1,1,1,1,6,5,6,9,8,11,14,6,Stop
1,11,1,1,1,1,7,5,6,9,7,11,14,6,Stop
1,11,1,1,1,1,7,5,6,10,6,11,14,6,East
2,11,1,1,1,1,7,5,6,9,7,11,14,6,East
3,11,1,1,1,1,8,5,7,9,8,11,14,5,East
4,11,1,1,1,1,8,6,7,8,9,11,14,4,East
5,11,1,1,1,1,8,5,7,9,9,11,14,4,East
6,11,1,1,1,1,8,5,8,9,8,11,15,4,East
7,11,1,1,1,1,9,5,8,8,9,11,15,3,East
8,11,1,1,0,1,9,5,8,8,5,1,14,3,East
9,11,1,1,0,1,8,5,7,8,5,1,15,3,East
10,11,1,1,0,1,8,4,7,9,5,1,14,3,South
10,10,1,1,0,1,7,4,8,9,5,1,14,4,South
10,9,1,1,0,1,7,5,9,9,5,1,14,3,West
9,9,1,0,0,1,8,5,3,1,5,1,15,3,West
8,9,1,0,0,1,9,5,3,1,5,1,15,4,South
